Posicion,Nombre de la cancion,Artista,Popularidad,Duration_ms,ReleaseDate,Pais
39,Alucin,"Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel",91,197114,2023-11-17,España
40,Si No Estás,iñigo quintero,93,184061,2022-09-23,España
41,Quien Es Dei V?,Dei V,81,162244,2023-03-17,España
42,PERREO LENTO,"Chris Jedi, Gaby Music, Dei V",74,156640,2024-02-09,España
43,Trending Remix (with Myke Towers),"Dei V, Myke Towers",76,225154,2023-05-04,España
44,VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beéle",85,215600,2023-05-12,España
45,LALA,Myke Towers,91,197920,2023-03-23,España
46,Buenas,"Quevedo, SAIKO",80,192954,2023-09-22,España
47,ASI ES LA VIDA,"Enrique Iglesias, Maria Becerra",83,172095,2023-09-28,España
48,TU$$I (with Dei V),"YOVNGCHIMI, Dei V",76,163200,2023-12-08,España
49,Holanda,Jhayco,85,231693,2023-07-28,España
50,El Merengue,"Marshmello, Manuel Turizo",78,189668,2023-11-03,España
1,LUNA,"Feid, ATL Jacob",97,196800,2023-12-01,Colombia
2,PERRO NEGRO,"Bad Bunny, Feid",95,162767,2023-10-13,Colombia
3,La Diabla,Xavi,98,172264,2023-11-30,Colombia
4,SI SABE FERXXO,"Blessd, Feid",86,152500,2024-01-25,Colombia
5,Según Quién,"Maluma, Carin Leon",89,142334,2023-08-25,Colombia
6,CUAL ES ESA,"Feid, Pirlo",82,172506,2023-12-01,Colombia
7,QLONA,"KAROL G, Peso Pluma",93,172797,2023-08-10,Colombia
8,LA FALDA,Myke Towers,94,174229,2023-09-18,Colombia
9,AMARGURA,KAROL G,90,170480,2023-02-24,Colombia
10,La Víctima,Xavi,95,156345,2023-08-17,Colombia
11,La Bachata,Manuel Turizo,86,162637,2023-03-17,Colombia
12,CLASSY 101,"Feid, Young Miko",86,195586,2023-12-01,Colombia
13,Feliz Cumpleaños Ferxxo,Feid,87,155960,2022-09-14,Colombia
14,CONTIGO (with Tiësto),"KAROL G, Tiësto",90,192786,2024-02-15,Colombia
15,Primera Cita,Carin Leon,86,186455,2023-05-19,Colombia
16,ALAKRAN,Feid,83,90613,2023-12-01,Colombia
17,EMPELOTICA,"Lenny Tavárez, Feid",79,190322,2024-02-22,Colombia
18,MI EX TENÍA RAZÓN,KAROL G,88,154374,2023-08-10,Colombia
19,Hey Mor,"Ozuna, Feid",86,196600,2022-10-07,Colombia
20,Es un Secreto,Plan B,71,190560,2010-07-20,Colombia
21,LA INOCENTE,"Mora, Feid",86,202173,2022-04-01,Colombia
22,LALA,Myke Towers,91,197920,2023-03-23,Colombia
23,Pa' Que Retozen,Tego Calderón,84,151666,2003-07-01,Colombia
24,Normal,Feid,84,171880,2022-09-14,Colombia
25,CHORRITO PA LAS ANIMAS,Feid,85,168133,2022-12-02,Colombia
26,QUEMA,"Ryan Castro, Peso Pluma, SOG",85,150618,2023-07-13,Colombia
27,Mamichula - con Nicki Nicole,"Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL",88,219201,2020-07-23,Colombia
28,Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",93,191466,2023-08-30,Colombia
29,Jordan,Ryan Castro,83,176142,2022-05-24,Colombia
30,Ferxxo 100,Feid,81,167760,2022-09-14,Colombia
31,Columbia,Quevedo,91,186000,2023-07-07,Colombia
32,LA VUELTA,"Feid, Mañas Ru-Fino",78,121920,2023-12-01,Colombia
33,Monastery,"Ryan Castro, Feid",78,189333,2021-11-12,Colombia
34,Solos,"Tony Dize, Plan B",61,188826,2009-11-17,Colombia
35,PALABRAS SOBRAN - REMIX,"Blessd, Ryan Castro, Bryant Myers, Hades66",68,288053,2024-01-25,Colombia
36,CONDENADO AL EXITO II,Blessd,72,257683,2024-01-25,Colombia
37,Narcotics (with Bryant Myers),"Dei V, Bryant Myers",84,173991,2023-09-14,Colombia
38,Mi Palabra Contra la de Ellos - En Vivo,Luis Alfonso,71,181685,2023-03-23,Colombia
39,"Young Miko: Bzrp Music Sessions, Vol. 58","Bizarrap, Young Miko",93,187172,2024-01-10,Colombia
40,Yandel 150,"Yandel, Feid",81,216148,2023-01-13,Colombia
41,BUBALU,"Feid, Rema",79,228186,2023-09-29,Colombia
42,Dile,Don Omar,86,204600,2003-01-01,Colombia
43,PROVENZA,KAROL G,85,207626,2023-02-24,Colombia
44,Te Pintaron Pajaritos,"Yandar & Yostin, Andy Rivera",82,172558,2016-12-30,Colombia
45,Prohibidox,Feid,80,166253,2022-09-14,Colombia
46,TU$$I (with Dei V),"YOVNGCHIMI, Dei V",76,163200,2023-12-08,Colombia
47,M.A.I,Milo j,88,184027,2023-11-30,Colombia
48,un x100to,"Grupo Frontera, Bad Bunny",86,194563,2023-08-25,Colombia
49,El Perdedor,Aventura,80,215213,2006-12-19,Colombia
50,Ojitos Chiquitos,Don Omar,80,229026,2006-01-01,Colombia
1,HOLA PERDIDA,"Luck Ra, KHEA",78,166536,2024-02-02,Argentina
2,Gata Only,"FloyyMenor, Cris Mj",91,222000,2024-02-02,Argentina
3,Una Foto Remix (feat. Emilia),"Mesita, Nicki Nicole, Tiago PZK, Emilia",91,243898,2024-01-05,Argentina
4,Piel,"Tiago PZK, Ke Personajes",82,141079,2024-02-01,Argentina
5,ROZE | DJ TAO Turreo Sessions #22,"DJ Tao, Roze Oficial",82,155291,2023-11-23,Argentina
6,Tal Para Cual,"Salastkbron, Omar Varela",79,151224,2024-01-11,Argentina
7,QUE ME FALTE TODO,"Luck Ra, Abel Pintos",75,165918,2024-02-02,Argentina
8,LUNA,"Feid, ATL Jacob",97,196800,2023-12-01,Argentina
9,"Young Miko: Bzrp Music Sessions, Vol. 58","Bizarrap, Young Miko",93,187172,2024-01-10,Argentina
10,La_Original.mp3,"Emilia, TINI",84,140625,2023-11-03,Argentina
11,La Morocha,"Luck Ra, BM",74,134144,2024-02-02,Argentina
12,Inocente,"Roze Oficial, Peipper",82,171500,2023-12-01,Argentina
13,30 GRADOS,"El Turko, Mandale Flow",71,151441,2024-01-26,Argentina
14,Mamichula - con Nicki Nicole,"Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL",88,219201,2020-07-23,Argentina
15,Exclusive.mp3,Emilia,83,120600,2023-11-03,Argentina
16,SINVERGÜENZA - con Angela Torres,"Emanero, Karina, j mena, Angela Torres",79,217490,2023-12-05,Argentina
17,Sin Querer,"Fer Vazquez, Flor Alvarez",80,141071,2023-12-14,Argentina
18,M.A.I,Milo j,88,184027,2023-11-30,Argentina
19,Buscando Money,"TWENTY SIX, Tayson Kryss",68,150000,2024-02-23,Argentina
20,FLECHAZO EN EL CENTRO,"YSY A, Bhavi, Milo j",81,185241,2023-09-06,Argentina
21,LA FALDA,Myke Towers,94,174229,2023-09-18,Argentina
22,Linda - Remix,"Marka Akme, DJ Tao, Lauty Gram, Migrantes, Peipper",80,234105,2023-09-27,Argentina
23,Bronceado - Remix,"Marama, MYA, Robleis",81,156631,2023-12-13,Argentina
24,PRIMER AVISO,"Maria Becerra, Ivy Queen",63,182891,2024-02-29,Argentina
25,Besos con Fernet,"Rusherking, Marama",80,147375,2023-11-07,Argentina
26,Mentiras | CROSSOVER #3,"Big One, Ulises Bueno, Rusherking",79,168000,2023-07-25,Argentina
27,Piscina,"Maria Becerra, Chencho Corleone, Ovy On The Drums",81,225661,2023-11-08,Argentina
28,Bad Boy,"Sayian Jimmy, Nysix Music",74,159101,2023-11-10,Argentina
29,El Super Junte Rkt,"Gusty dj, Salastkbron, Callejero Fino, Alejo Isakk, R Jota, L-Gante, Lolo OG, DobleP, Lauty Gram",77,383369,2023-11-30,Argentina
30,Un Finde | CROSSOVER #2,"Big One, FMK, Ke Personajes",84,162500,2023-04-04,Argentina
31,Ni Una Ni Dos,BM,80,158535,2023-06-28,Argentina
32,OJITOS ROJOS,"Grupo Frontera, Ke Personajes",81,221601,2023-08-25,Argentina
33,Le Gustan lo' Flaites,"El Joan, Celso El Potente",79,183328,2023-03-17,Argentina
34,Ya No Vuelvas (Versión Cuarteto),"Luck Ra, La K'onga, Ke Personajes",72,204000,2024-02-02,Argentina
35,El Amor De Mi Vida,"Los Ángeles Azules, Maria Becerra",62,184586,2023-08-18,Argentina
36,GTA.mp3,Emilia,76,151653,2023-11-03,Argentina
37,Daytona,Cris Mj,85,173785,2023-11-09,Argentina
38,Nena Sad,"ORO600, Pablo Chill-E, 0-600, Orodembow",73,205217,2023-12-08,Argentina
39,Una Foto,Mesita,78,122500,2023-08-15,Argentina
40,ATORRANTE - con Los Palmeras,"Emanero, Ulises Bueno, Migrantes, Los Palmeras",76,252347,2023-07-08,Argentina
41,TU Y YO,"KHEA, Emilia",74,192517,2024-02-14,Argentina
42,Quiero Creer,"Luck Ra, La T y La M, Rusherking",69,145054,2024-02-02,Argentina
43,Cuarteto Sessions #3,Q' Lokura,69,500989,2023-12-30,Argentina
44,Cupido,"Engel Montaz, Kuv507, Latinnites Music",75,215000,2023-02-14,Argentina
45,Por Mil Noches,Airbag,74,283884,2013-11-27,Argentina
46,PERRO NEGRO,"Bad Bunny, Feid",95,162767,2023-10-13,Argentina
47,CORAZÓN VACÍO,Maria Becerra,82,160535,2023-06-22,Argentina
48,NO DA MÁS,"YSY A, Duki, ONIRIA, Yesan 雪山",77,168484,2023-11-11,Argentina
49,Ahi Ahi,El negro tecla,77,176796,2021-12-08,Argentina
50,TRANKY FUNKY,Trueno,79,158325,2023-08-10,Argentina
